"svr","r","cat","comment"
"+","+","math","addition (binary or unary)"
":",":","ops","Same syntax"
"mean()","base::mean(), collapse::fmean()","summary","With argument na.rm = TRUE by default"
"<-","<-","ops","Same syntax"
"methods()","base::methods()","object","Same syntax"
"get_s3_methods()","base::getS3methods()","object","Same syntax"
"-","-","math","subtraction (binary or unary)"
"*","*","math","Same syntax"
"/","/","math","Same syntax"
"^","^","math","Same syntax"
"%/%","%/%","math","Same syntax"
"%%","%%","math","Same syntax"
"%*%","%*%","math","Same syntax"
"abs()","base::abs()","math","Same syntax"
"sign()","base::sign()","math","Same syntax"
"sqrt()","base::sqrt()","math","Same syntax"
"round()","base::round()","math","Same syntax"
"floor()","base::floor()","math","Same syntax"
"ceiling()","base::ceiling()","math","Same syntax"
"trunc()","base::trunc()","math","Same syntax"
"signif()","base::signif()","math","Same syntax"
"exp()","base::exp()","math","Same syntax"
"log()","base::log()","math","Same syntax"
"logb()","base::logb()","math","Same syntax"
"log10()","base::log10()","math","Same syntax"
"log2()","base::log2()","math","Same syntax"
"log1p()","base::log1p()","math","Same syntax"
"expm1()","base::expm1()","math","Same syntax"
"cos()","base::cos()","math","Same syntax"
"sin()","base::sin()","math","Same syntax"
"tan()","base::tan()","math","Same syntax"
"cospi()","base::cospi()","math","Same syntax"
"sinpi()","base::sinpi()","math","Same syntax"
"tanpi()","base::tanpi()","math","Same syntax"
"acos()","base::acos()","math","Same syntax"
"asin()","base::asin()","math","Same syntax"
"atan()","base::atan()","math","Same syntax"
"atan2()","base::atan2()","math","Same syntax"
"cosh()","base::cosh()","math","Same syntax"
"sinh()","base::sinh()","math","Same syntax"
"tanh()","base::tanh()","math","Same syntax"
"acosh()","base::acosh()","math","Same syntax"
"asinh()","base::asinh()","math","Same syntax"
"atanh()","base::atanh()","math","Same syntax"
"min()","base::min()","math","Same syntax"
"max()","base::max()","math","Same syntax"
"range()","base::range()","math","Same syntax"
"pmin()","base::pmin()","math","Same syntax"
"pmax()","base::pmax()","math","Same syntax"
"pmin_int()","base::pmin.int()","math","snake_case version of pmin.int()"
"pmax_int()","base::pmax.int()","math","snake_case version of pmax.int()"
"cummin()","base::cummin()","math","Same syntax"
"cummax()","base::cummax()","math","Same syntax"
"sum()","base::sum()","math","Same syntax"
"prod()","base::prod()","math","Same syntax"
"cumsum()","base::cumsum()","math","Same syntax"
"cumprod()","base::cumprod()","math","Same syntax"
"factorial()","base::factorial()","math","Same syntax"
"lfactorial()","base::lfactorila()","math","Same syntax"
"choose()","base::choose()","math","Same syntax"
"lchoose()","base::lchoose()","math","Same syntax"
"combn()","utils::combn()","distri","Same syntax"
"beta()","base::beta()","math","Same syntax"
"lbeta()","base::lbeta()","math","Same syntax"
"gamma()","base::gamma()","math","Same syntax"
"lgamma()","base::lgamma()","math","Same syntax"
"digamma()","base::digamma()","math","Same syntax"
"trigamma()","base::trigamma()","math","Same syntax"
"psigamma()","base::psigamma()","math","Same syntax"
"complex()","base::complex()","complex","Same syntax"
"as.complex()","base::as.complex()","complex","Same syntax"
"is.complex()","base::is.complex()","complex","Same syntax"
"Re()","base::Re()","complex","Same syntax"
"Im()","base::Im()","complex","Same syntax"
"Mod()","base::Mod()","complex","Same syntax"
"Arg()","base::Arg()","complex","Same syntax"
"Conj()","base::Conj()","complex","Same syntax"
"NA_complex_","base::NA_complex_","complex","Same syntax"
"TRUE","base::TRUE","logical","Same syntax"
"FALSE","base::FALSE","logical","Same syntax"
NA,"base::NA","logical","Same syntax"
"==","base::==","logical","Same syntax"
"!=","base::!=","logical","Same syntax"
"<","base::<","logical","Same syntax"
">","base::>","logical","Same syntax"
"<=","base::<=","logical","Same syntax"
">=","base::>=","logical","Same syntax"
"all_equal()","base::all.equal()","logical","Same syntax"
"identical()","base::identical()","logical","Same syntax"
"attr_all_equal()","base::attr.all.equal()","logical","Same syntax"
"&","base::&","logical","Same syntax"
"|","base::|","logical","Same syntax"
"xor()","base::xor()","logical","Same syntax"
"&&","base::&&","logical","Same syntax"
"||","base::||","logical","Same syntax"
"!","base::!","logical","Same syntax"
"all()","base::all()","logical","Same syntax"
"any()","base::any()","logical","Same syntax"
"is_true()","base::isTRUE()","logical","Same syntax"
"is_false()","base::isFALSE()","logical","Same syntax"
"as.logical()","base::as.logical()","logical","Same syntax"
"is.logical()","base::is.logical()","logical","Same syntax"
"logical()","base::logical()","logical","Same syntax"
"lgl()","rlang::lgl()","logical","Same syntax"
"character()","base::character()","character","Same syntax"
"as.character()","base::as.character()","character","Same syntax"
"is.character()","base::is.character()","character","Same syntax"
"NA_character_","base::NA_character_","character","Same syntax"
"col_black()","cli::col_black()","cli","Colorize text in black (ANSI)"
"col_blue()","cli::col_blue()","cli","Colorize text in blue (ANSI)"
"col_cyan()","cli::col_cyan()","cli","Colorize text in cyan (ANSI)"
"col_green()","cli::col_green()","cli","Colorize text in green (ANSI)"
"col_magenta()","cli::col_magenta()","cli","Colorize text in magenta (ANSI)"
"col_red()","cli::col_red()","cli","Colorize text in red (ANSI)"
"col_white()","cli::col_white()","cli","Colorize text in white (ANSI)"
"col_yellow()","cli::col_yellow()","cli","Colorize text in yellow (ANSI)"
"col_grey()","cli::col_grey()","cli","Colorize text in grey (ANSI)"
"col_silver()","cli::col_silver()","cli","Colorize text in silver (ANSI)"
"col_br_black()","cli::col_br_black()","cli","Colorize text in bright black (ANSI)"
"col_br_blue()","cli::col_br_blue()","cli","Colorize text in bright blue (ANSI)"
"col_br_cyan()","cli::col_br_cyan()","cli","Colorize text in bright cyan (ANSI)"
"col_br_green()","cli::col_br_green()","cli","Colorize text in bright green (ANSI)"
